Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,4461.85,безналичный,Гомель,Беларусбанк-ZAWR-891,23-06-2007,23:11:05,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4284.04,безналичный,Брест,Приорбанк-RLQV-648,05-07-2018,15:49:37,успешно,нет,0.0
физ. лицо,получение средств,4574.1,безналичный,Гродно,Беларусбанк-DTKA-244,28-07-2024,09:05:53,успешно,нет,0.0
физ. лицо,списание средств,723.59,безналичный,Могилев,МаксБанк-ZMMW-485,20-02-2023,09:12:53,неправильный ввод пин-кода,да,68.27
физ. лицо,получение средств,131.9,безналичный,Минск,МаксБанк-PLRW-987,09-09-2021,18:09:08,успешно,нет,0.0
физ. лицо,списание средств,4019.24,наличный,Гродно,МаксБанк-OEFN-097,11-04-2017,22:58:07,неправильный ввод пин-кода,да,107.35
юр. лицо,списание средств,2681.62,безналичный,Гродно,Белинвестбанк-OIMZ-377,29-03-2004,16:01:29,успешно,да,72.87
физ. лицо,получение средств,393.61,наличный,Витебск,Беларусбанк-UBIX-575,03-06-2015,23:54:18,успешно,нет,0.0
юр. лицо,получение средств,3254.23,безналичный,Гомель,Приорбанк-CVPN-071,27-08-2021,05:00:46,успешно,нет,0.0
юр. лицо,получение средств,2515.05,безналичный,Минск,БелАгропромбанк-DZZN-122,25-05-2002,03:32:34,успешно,нет,0.0
юр. лицо,списание средств,2863.57,безналичный,Гродно,МаксБанк-FQQD-447,19-12-2011,12:34:36,неправильный ввод пин-кода,да,37.52
физ. лицо,получение средств,3899.43,безналичный,Могилев,Белинвестбанк-HCAP-688,28-11-2011,13:45:47,успешно,нет,0.0
юр. лицо,получение средств,2996.26,безналичный,Могилев,БелАгропромбанк-GIWN-615,21-10-2013,12:37:24,успешно,нет,0.0
физ. лицо,списание средств,3476.65,наличный,Гродно,Беларусбанк-HVMS-390,22-06-2007,18:08:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2469.37,наличный,Минск,БелАгропромбанк-PHHD-230,03-03-2022,00:03:56,недостаточно средств,да,206.91
юр. лицо,получение средств,1349.23,наличный,Могилев,Белинвестбанк-XNLL-435,31-10-2001,01:16:01,успешно,нет,0.0
юр. лицо,получение средств,3871.98,безналичный,Витебск,БелАгропромбанк-VVMI-591,28-08-2021,13:39:34,успешно,нет,0.0
физ. лицо,списание средств,2161.19,наличный,Витебск,Белинвестбанк-ECZD-904,21-02-2003,22:43:29,успешно,да,79.52
юр. лицо,списание средств,3951.16,наличный,Гомель,МаксБанк-TMXC-361,20-10-2006,22:22:25,недостаточно средств,да,63.06
юр. лицо,получение средств,4884.15,безналичный,Гродно,Белинвестбанк-GSRJ-080,09-06-2015,08:59:08,успешно,нет,0.0
юр. лицо,получение средств,3401.14,наличный,Гомель,БелАгропромбанк-SVKX-697,18-10-2000,16:52:08,успешно,нет,0.0
физ. лицо,списание средств,2321.97,наличный,Минск,Приорбанк-PPYF-651,23-03-2023,18:25:11,недостаточно средств,да,76.11
физ. лицо,получение средств,2788.13,наличный,Брест,БелАгропромбанк-PXJD-774,01-04-2014,07:07:24,успешно,нет,0.0
юр. лицо,получение средств,244.39,наличный,Гомель,БелАгропромбанк-PDMK-505,09-03-2019,23:18:45,успешно,нет,0.0
физ. лицо,получение средств,325.4,безналичный,Витебск,Приорбанк-ZABP-471,09-11-2013,17:03:01,успешно,нет,0.0
юр. лицо,списание средств,2509.59,безналичный,Минск,МаксБанк-DQWN-239,28-08-2006,04:57:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1003.13,безналичный,Гродно,Приорбанк-HTXH-009,22-02-2017,20:29:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1734.36,наличный,Гомель,МаксБанк-MHLV-471,12-02-2012,14:37:29,успешно,нет,0.0
юр. лицо,списание средств,3450.14,безналичный,Минск,Приорбанк-VKEK-186,15-02-2018,10:31:30,успешно,нет,0.0
физ. лицо,получение средств,75.84,наличный,Гомель,Беларусбанк-BYML-966,18-04-2020,03:40:55,успешно,нет,0.0
физ. лицо,получение средств,2614.83,безналичный,Брест,Приорбанк-GPRP-206,14-07-2005,15:06:44,успешно,нет,0.0
физ. лицо,получение средств,1725.31,наличный,Могилев,Приорбанк-AQWF-402,29-02-2012,15:47:48,успешно,нет,0.0
физ. лицо,списание средств,4351.69,наличный,Брест,Белинвестбанк-PKZK-024,10-08-2021,21:06:17,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1564.2,безналичный,Гродно,Приорбанк-YLBR-346,05-06-2006,09:22:42,успешно,нет,0.0
юр. лицо,списание средств,3184.89,безналичный,Гомель,БелАгропромбанк-RGIE-036,30-05-2012,21:31:05,недостаточно средств,нет,0.0
юр. лицо,получение средств,2391.26,безналичный,Брест,Белинвестбанк-XQHP-925,24-01-2001,03:28:32,успешно,нет,0.0
юр. лицо,списание средств,2352.05,безналичный,Брест,Беларусбанк-VLPY-217,21-11-2013,00:08:44,успешно,нет,0.0
юр. лицо,списание средств,1962.08,наличный,Гродно,МаксБанк-VNRS-851,28-08-2008,12:43:14,успешно,нет,0.0
физ. лицо,получение средств,4427.68,наличный,Могилев,Белинвестбанк-FCBJ-838,15-03-2011,23:09:47,успешно,нет,0.0
физ. лицо,получение средств,2745.02,безналичный,Витебск,Беларусбанк-JWRQ-071,29-12-2013,07:52:55,успешно,нет,0.0
физ. лицо,списание средств,4074.42,наличный,Гомель,Приорбанк-QHYY-260,04-05-2019,00:59:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,314.1,безналичный,Гродно,Белинвестбанк-RXLE-816,02-04-2010,08:05:49,неправильный ввод пин-кода,да,3.86
юр. лицо,получение средств,1102.52,безналичный,Брест,Приорбанк-HSWZ-065,07-08-2002,00:59:34,успешно,нет,0.0
физ. лицо,получение средств,3752.34,наличный,Брест,БелАгропромбанк-PSFQ-944,31-05-2023,05:39:35,успешно,нет,0.0
физ. лицо,списание средств,4090.67,безналичный,Гродно,Беларусбанк-FPHM-128,29-07-2005,22:52:12,неправильный ввод пин-кода,да,126.5
физ. лицо,списание средств,426.29,наличный,Гродно,МаксБанк-JAIF-308,03-07-2011,15:47:17,неправильный ввод пин-кода,да,18.99
юр. лицо,получение средств,3657.25,наличный,Могилев,Беларусбанк-AVCR-204,22-11-2001,17:47:06,успешно,нет,0.0
юр. лицо,получение средств,1989.74,наличный,Могилев,Приорбанк-UCQD-674,31-12-2003,00:54:00,успешно,нет,0.0
юр. лицо,списание средств,4370.53,наличный,Витебск,Приорбанк-EVOL-523,05-03-2002,11:43:00,недостаточно средств,нет,0.0
юр. лицо,списание средств,2381.75,наличный,Брест,Беларусбанк-LPIC-853,14-05-2019,10:35:54,неправильный ввод пин-кода,да,228.78
физ. лицо,получение средств,148.17,наличный,Могилев,Беларусбанк-IGQD-985,25-08-2005,17:54:10,успешно,нет,0.0
физ. лицо,списание средств,3572.6,наличный,Минск,БелАгропромбанк-MQCX-479,22-02-2022,15:55:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1572.23,наличный,Гродно,Белинвестбанк-VYMZ-765,04-04-2007,06:26:34,успешно,нет,0.0
физ. лицо,списание средств,4567.9,безналичный,Гомель,МаксБанк-JCOR-333,03-02-2023,08:15:37,неправильный ввод пин-кода,да,305.16
физ. лицо,списание средств,4502.23,безналичный,Могилев,БелАгропромбанк-MFAL-035,30-09-2009,00:56:27,неправильный ввод пин-кода,да,230.15
физ. лицо,получение средств,671.36,безналичный,Гродно,БелАгропромбанк-ONCS-650,29-10-2009,14:41:44,успешно,нет,0.0
юр. лицо,списание средств,2209.14,наличный,Могилев,БелАгропромбанк-ITXZ-217,09-12-2018,16:33:24,успешно,да,120.33
юр. лицо,получение средств,4498.02,наличный,Брест,МаксБанк-FWAX-587,06-09-2019,01:14:30,успешно,нет,0.0
юр. лицо,получение средств,412.45,наличный,Гродно,БелАгропромбанк-QYKB-816,11-08-2004,02:09:12,успешно,нет,0.0
физ. лицо,получение средств,2198.54,наличный,Минск,БелАгропромбанк-GSUO-224,22-04-2001,08:22:12,успешно,нет,0.0
физ. лицо,получение средств,4195.38,наличный,Гродно,Приорбанк-ZGXF-612,13-04-2020,10:56:01,успешно,нет,0.0
юр. лицо,списание средств,401.84,безналичный,Гродно,БелАгропромбанк-TATK-177,02-03-2010,00:09:03,недостаточно средств,да,38.1
юр. лицо,получение средств,696.56,безналичный,Брест,Приорбанк-GFWR-885,22-11-2006,11:08:52,успешно,нет,0.0
юр. лицо,списание средств,1696.69,наличный,Брест,БелАгропромбанк-TVBD-665,07-05-2019,16:25:03,успешно,да,31.76
физ. лицо,получение средств,4413.54,безналичный,Витебск,Приорбанк-DHZZ-151,30-12-2006,08:04:36,успешно,нет,0.0
физ. лицо,списание средств,2963.04,наличный,Гродно,Приорбанк-JPMS-207,31-08-2012,04:49:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4624.2,наличный,Витебск,МаксБанк-XHUY-039,21-09-2004,15:28:45,успешно,нет,0.0
физ. лицо,получение средств,2143.8,безналичный,Брест,Белинвестбанк-ZWSP-308,17-03-2013,14:00:46,успешно,нет,0.0
юр. лицо,получение средств,4455.47,безналичный,Брест,Белинвестбанк-NWTW-654,28-09-2014,00:40:15,успешно,нет,0.0
физ. лицо,списание средств,3232.98,безналичный,Могилев,БелАгропромбанк-RETA-390,03-01-2023,06:38:45,успешно,да,282.86
юр. лицо,получение средств,4842.76,безналичный,Брест,Беларусбанк-EYOD-204,25-09-2013,08:21:27,успешно,нет,0.0
юр. лицо,получение средств,3405.97,безналичный,Брест,БелАгропромбанк-SNRD-514,15-10-2004,20:39:54,успешно,нет,0.0
физ. лицо,получение средств,2469.7,безналичный,Витебск,Белинвестбанк-RVBG-569,01-10-2024,00:29:08,успешно,нет,0.0
юр. лицо,получение средств,406.88,безналичный,Могилев,Приорбанк-EWTU-086,15-06-2021,11:25:14,успешно,нет,0.0
юр. лицо,получение средств,4163.07,наличный,Минск,МаксБанк-AKCU-043,24-03-2018,10:33:11,успешно,нет,0.0
физ. лицо,получение средств,3269.16,безналичный,Гродно,Приорбанк-JXYS-976,19-12-2005,09:14:12,успешно,нет,0.0
физ. лицо,списание средств,4452.68,безналичный,Брест,Белинвестбанк-DSIM-037,12-06-2001,06:26:48,недостаточно средств,да,239.81
юр. лицо,списание средств,2691.37,безналичный,Могилев,БелАгропромбанк-ZEKA-501,30-11-2002,21:01:08,успешно,да,88.97
юр. лицо,получение средств,4740.57,наличный,Минск,МаксБанк-XMKS-110,24-08-2013,17:13:18,успешно,нет,0.0
юр. лицо,списание средств,392.46,наличный,Гродно,Приорбанк-VHPB-481,27-12-2018,13:20:49,недостаточно средств,нет,0.0
физ. лицо,списание средств,334.58,безналичный,Брест,Приорбанк-WXBJ-823,01-09-2020,00:28:56,успешно,нет,0.0
юр. лицо,получение средств,2258.25,наличный,Гомель,Беларусбанк-IKVG-577,13-10-2001,05:15:08,успешно,нет,0.0
физ. лицо,получение средств,4343.35,безналичный,Витебск,Белинвестбанк-XBBO-665,29-09-2022,01:03:51,успешно,нет,0.0
юр. лицо,списание средств,2863.42,безналичный,Могилев,Белинвестбанк-MJKF-804,11-04-2012,06:50:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1762.38,безналичный,Минск,Беларусбанк-KSHI-055,27-10-2016,03:50:37,успешно,нет,0.0
юр. лицо,списание средств,2309.26,безналичный,Могилев,Беларусбанк-IWET-566,11-12-2005,09:20:05,неправильный ввод пин-кода,да,75.5
физ. лицо,списание средств,2105.61,наличный,Брест,Белинвестбанк-SIVI-705,22-10-2000,14:43:17,успешно,да,60.57
физ. лицо,получение средств,3274.78,наличный,Могилев,Беларусбанк-INAE-146,15-07-2016,09:13:54,успешно,нет,0.0
юр. лицо,списание средств,3237.31,наличный,Гродно,Белинвестбанк-RLXH-140,10-03-2015,23:37:22,недостаточно средств,да,291.68
юр. лицо,списание средств,2021.45,наличный,Минск,МаксБанк-CMRI-566,31-07-2013,13:19:41,недостаточно средств,нет,0.0
юр. лицо,списание средств,3782.22,наличный,Гомель,Приорбанк-FTFE-016,08-01-2016,09:24:59,недостаточно средств,нет,0.0
физ. лицо,получение средств,3706.84,безналичный,Витебск,БелАгропромбанк-TALF-505,16-02-2015,17:15:27,успешно,нет,0.0
физ. лицо,списание средств,2177.87,безналичный,Гродно,БелАгропромбанк-RTYH-827,15-08-2011,16:46:06,успешно,да,162.4
физ. лицо,списание средств,1279.85,безналичный,Могилев,Белинвестбанк-MPZH-345,30-07-2014,17:22:31,неправильный ввод пин-кода,да,42.83
физ. лицо,списание средств,156.6,наличный,Гродно,Беларусбанк-IOQX-891,09-02-2024,08:36:41,недостаточно средств,да,15.54
физ. лицо,получение средств,1658.55,наличный,Брест,Белинвестбанк-BERU-229,09-12-2011,12:32:47,успешно,нет,0.0
физ. лицо,получение средств,4121.1,наличный,Минск,Белинвестбанк-CFCX-287,10-08-2003,03:13:19,успешно,нет,0.0
физ. лицо,получение средств,495.35,наличный,Витебск,Приорбанк-SWSZ-670,21-09-2010,16:48:34,успешно,нет,0.0
юр. лицо,списание средств,627.58,наличный,Витебск,БелАгропромбанк-VSFY-200,17-07-2018,07:48:38,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4421.34,наличный,Витебск,БелАгропромбанк-APVU-645,03-03-2004,22:09:58,успешно,нет,0.0
юр. лицо,получение средств,2574.54,наличный,Минск,БелАгропромбанк-NPGL-467,01-02-2019,20:15:45,успешно,нет,0.0
юр. лицо,списание средств,705.54,безналичный,Гомель,Белинвестбанк-NLUO-850,06-09-2003,03:07:48,успешно,да,10.6
юр. лицо,списание средств,1103.18,безналичный,Могилев,БелАгропромбанк-YNYH-814,23-06-2012,06:50:31,недостаточно средств,нет,0.0
юр. лицо,списание средств,3396.93,наличный,Минск,БелАгропромбанк-REII-500,21-09-2008,06:18:06,неправильный ввод пин-кода,да,151.53
юр. лицо,списание средств,2515.07,безналичный,Минск,Беларусбанк-ABRN-700,08-05-2024,12:59:18,недостаточно средств,да,166.01
юр. лицо,получение средств,2462.34,наличный,Минск,Белинвестбанк-HXZC-380,24-11-2003,01:35:52,успешно,нет,0.0
юр. лицо,списание средств,1897.22,безналичный,Могилев,Беларусбанк-MGSK-563,03-06-2010,20:26:55,недостаточно средств,нет,0.0
юр. лицо,получение средств,766.9,безналичный,Могилев,БелАгропромбанк-QZQU-823,27-07-2004,18:56:04,успешно,нет,0.0
юр. лицо,списание средств,3629.17,безналичный,Брест,БелАгропромбанк-TQST-361,15-07-2010,06:46:14,недостаточно средств,да,102.53
физ. лицо,получение средств,3799.01,наличный,Гродно,Белинвестбанк-RNKL-289,04-07-2022,22:31:03,успешно,нет,0.0
физ. лицо,получение средств,4527.43,наличный,Гомель,БелАгропромбанк-GPLU-408,15-02-2015,11:19:47,успешно,нет,0.0
физ. лицо,получение средств,256.63,наличный,Витебск,БелАгропромбанк-LEJF-639,19-11-2008,23:53:46,успешно,нет,0.0
физ. лицо,списание средств,734.69,безналичный,Минск,МаксБанк-AKXS-041,21-01-2016,11:16:25,недостаточно средств,нет,0.0
юр. лицо,списание средств,3896.91,безналичный,Брест,Белинвестбанк-UCKC-383,08-02-2021,14:56:47,успешно,нет,0.0
физ. лицо,списание средств,1338.53,безналичный,Витебск,Беларусбанк-TDBW-922,23-12-2019,23:47:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1612.21,наличный,Минск,БелАгропромбанк-XGJK-106,27-04-2001,04:55:06,успешно,нет,0.0
юр. лицо,получение средств,2091.82,безналичный,Могилев,Белинвестбанк-HNVO-291,08-02-2002,03:43:32,успешно,нет,0.0
физ. лицо,получение средств,3754.09,безналичный,Минск,Приорбанк-UUTB-867,01-10-2007,14:40:20,успешно,нет,0.0
юр. лицо,списание средств,2058.32,безналичный,Брест,Приорбанк-GEQV-632,25-01-2015,05:13:46,неправильный ввод пин-кода,да,192.72
юр. лицо,получение средств,4409.87,безналичный,Могилев,Приорбанк-FEOF-498,24-03-2008,19:39:20,успешно,нет,0.0
юр. лицо,списание средств,4406.04,наличный,Минск,Беларусбанк-WFPL-635,18-09-2002,22:08:23,неправильный ввод пин-кода,да,64.94
юр. лицо,получение средств,837.08,безналичный,Гомель,Приорбанк-AEBQ-450,30-07-2020,12:22:50,успешно,нет,0.0
юр. лицо,получение средств,1421.17,наличный,Гомель,Беларусбанк-BBBJ-337,01-03-2021,19:54:25,успешно,нет,0.0
физ. лицо,списание средств,3709.19,безналичный,Брест,Приорбанк-AUUJ-752,02-10-2017,09:32:45,недостаточно средств,да,267.3
юр. лицо,списание средств,3044.54,наличный,Брест,МаксБанк-OILA-316,08-10-2010,00:53:15,успешно,нет,0.0
юр. лицо,получение средств,1014.93,наличный,Гомель,Белинвестбанк-FPGZ-839,24-10-2015,23:28:34,успешно,нет,0.0
физ. лицо,списание средств,4615.82,наличный,Могилев,БелАгропромбанк-BBGJ-940,01-09-2002,02:00:11,неправильный ввод пин-кода,да,183.35
физ. лицо,списание средств,4719.67,наличный,Гомель,МаксБанк-JKSC-906,08-06-2000,04:45:46,недостаточно средств,да,394.53
физ. лицо,получение средств,4566.96,безналичный,Брест,Приорбанк-JDYX-386,23-01-2024,11:31:51,успешно,нет,0.0
физ. лицо,списание средств,1817.65,безналичный,Могилев,Белинвестбанк-UFGG-105,16-06-2004,14:28:07,успешно,нет,0.0
юр. лицо,списание средств,3908.38,безналичный,Витебск,МаксБанк-BMOY-749,10-08-2024,19:09:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1863.63,наличный,Могилев,МаксБанк-KKLI-573,18-10-2024,09:58:41,неправильный ввод пин-кода,да,120.51
физ. лицо,получение средств,4552.48,безналичный,Могилев,Приорбанк-PMYR-578,08-12-2020,01:34:39,успешно,нет,0.0
физ. лицо,списание средств,1854.41,наличный,Гомель,БелАгропромбанк-XEPW-394,30-01-2022,21:13:20,недостаточно средств,да,38.28
физ. лицо,получение средств,4973.53,наличный,Минск,Белинвестбанк-DYLQ-951,11-10-2018,02:55:47,успешно,нет,0.0
физ. лицо,списание средств,3816.79,наличный,Витебск,МаксБанк-OBKJ-652,02-02-2020,05:38:34,недостаточно средств,да,233.24
юр. лицо,списание средств,2953.81,безналичный,Могилев,Белинвестбанк-SRCS-485,18-01-2014,03:38:24,успешно,нет,0.0
юр. лицо,списание средств,4894.67,безналичный,Витебск,МаксБанк-DGGY-259,17-07-2010,09:15:33,недостаточно средств,нет,0.0
физ. лицо,списание средств,1143.14,безналичный,Могилев,БелАгропромбанк-PILF-071,17-02-2022,10:17:41,недостаточно средств,нет,0.0
юр. лицо,списание средств,875.58,наличный,Минск,Беларусбанк-OTXR-576,26-09-2021,02:25:11,неправильный ввод пин-кода,да,41.76
юр. лицо,списание средств,500.98,безналичный,Минск,МаксБанк-UVZC-193,27-02-2011,12:34:52,успешно,нет,0.0
юр. лицо,получение средств,2122.39,наличный,Гомель,БелАгропромбанк-SXCT-469,18-12-2001,13:00:16,успешно,нет,0.0
юр. лицо,списание средств,494.83,безналичный,Витебск,БелАгропромбанк-REJS-439,19-02-2020,07:24:54,недостаточно средств,нет,0.0
юр. лицо,получение средств,466.68,наличный,Витебск,МаксБанк-VCFX-458,17-12-2005,17:11:10,успешно,нет,0.0
физ. лицо,списание средств,3880.98,наличный,Витебск,МаксБанк-MJZI-567,08-07-2001,07:54:54,недостаточно средств,да,124.78
физ. лицо,списание средств,4454.63,безналичный,Могилев,Приорбанк-OVWT-828,02-08-2021,07:34:40,успешно,нет,0.0
физ. лицо,получение средств,3301.02,безналичный,Минск,Беларусбанк-RJFD-291,19-07-2005,04:58:41,успешно,нет,0.0
физ. лицо,получение средств,1964.38,наличный,Могилев,Белинвестбанк-NUKG-228,26-11-2010,20:31:30,успешно,нет,0.0
юр. лицо,списание средств,1224.54,наличный,Витебск,Белинвестбанк-OKZJ-477,16-06-2005,17:44:27,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,780.66,безналичный,Минск,Приорбанк-JJPR-525,30-03-2022,23:21:05,успешно,нет,0.0
юр. лицо,списание средств,4626.83,наличный,Гомель,Белинвестбанк-ZSDL-281,25-12-2020,19:59:03,успешно,нет,0.0
юр. лицо,списание средств,4964.2,безналичный,Гомель,БелАгропромбанк-APAL-933,06-03-2020,00:50:55,успешно,нет,0.0
юр. лицо,получение средств,1560.05,наличный,Минск,Приорбанк-PJQC-860,07-11-2017,01:55:12,успешно,нет,0.0
физ. лицо,списание средств,666.52,безналичный,Могилев,МаксБанк-GHAF-896,26-09-2011,11:27:06,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,604.52,безналичный,Минск,Беларусбанк-SNQG-893,09-05-2020,03:42:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2294.11,безналичный,Брест,Беларусбанк-UZRQ-475,24-02-2002,22:06:48,успешно,да,31.76
юр. лицо,списание средств,5.91,безналичный,Брест,Приорбанк-XINU-362,26-11-2023,22:51:06,успешно,нет,0.0
физ. лицо,списание средств,661.33,наличный,Минск,Приорбанк-AWNY-272,30-03-2000,20:41:55,успешно,нет,0.0
физ. лицо,получение средств,1849.28,наличный,Гомель,БелАгропромбанк-JNIV-671,27-01-2008,13:20:42,успешно,нет,0.0
юр. лицо,списание средств,3467.36,безналичный,Могилев,МаксБанк-YSNB-825,26-01-2022,19:52:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4437.34,наличный,Брест,Приорбанк-BNKL-468,22-04-2015,17:44:10,успешно,нет,0.0
юр. лицо,списание средств,4918.13,безналичный,Могилев,МаксБанк-WSCC-639,30-10-2023,10:18:07,успешно,да,360.67
физ. лицо,списание средств,2390.94,наличный,Гомель,БелАгропромбанк-NERE-765,12-01-2006,16:12:21,успешно,нет,0.0
юр. лицо,списание средств,853.28,безналичный,Гомель,Белинвестбанк-BDLW-786,03-05-2004,13:31:56,недостаточно средств,нет,0.0
физ. лицо,списание средств,1210.52,безналичный,Гомель,БелАгропромбанк-ECVH-689,28-10-2011,15:31:25,успешно,нет,0.0
юр. лицо,получение средств,4276.53,наличный,Витебск,МаксБанк-XJAO-170,13-09-2018,01:19:28,успешно,нет,0.0
физ. лицо,получение средств,1350.4,безналичный,Могилев,Приорбанк-BTPK-776,07-03-2006,22:14:42,успешно,нет,0.0
физ. лицо,получение средств,2130.56,безналичный,Гомель,МаксБанк-KTJZ-177,18-09-2017,13:09:33,успешно,нет,0.0
юр. лицо,списание средств,1468.44,наличный,Минск,Белинвестбанк-SMTV-576,29-08-2016,11:41:23,успешно,да,78.06
юр. лицо,списание средств,709.71,наличный,Гродно,Беларусбанк-PRPO-050,08-09-2008,05:12:47,неправильный ввод пин-кода,да,70.09
физ. лицо,получение средств,207.06,безналичный,Гродно,БелАгропромбанк-EXGN-295,02-09-2023,04:23:40,успешно,нет,0.0
физ. лицо,списание средств,318.59,безналичный,Витебск,БелАгропромбанк-NPDV-735,25-01-2002,00:42:33,успешно,да,16.91
юр. лицо,получение средств,4645.09,наличный,Могилев,Белинвестбанк-FSNE-051,26-08-2005,09:11:19,успешно,нет,0.0
юр. лицо,получение средств,1183.26,безналичный,Минск,Беларусбанк-UTDM-027,10-09-2018,02:55:07,успешно,нет,0.0
физ. лицо,получение средств,83.62,наличный,Гомель,Белинвестбанк-CJOM-907,10-08-2011,03:50:03,успешно,нет,0.0
физ. лицо,получение средств,598.68,безналичный,Гродно,МаксБанк-TSAV-989,30-10-2008,16:34:50,успешно,нет,0.0
юр. лицо,получение средств,1746.69,безналичный,Гомель,Белинвестбанк-ECPB-383,02-03-2001,14:10:54,успешно,нет,0.0
физ. лицо,списание средств,2730.32,безналичный,Минск,Приорбанк-RZDC-106,28-04-2000,19:22:32,успешно,да,73.69
физ. лицо,получение средств,3365.16,наличный,Витебск,БелАгропромбанк-KCQO-631,06-01-2023,22:54:45,успешно,нет,0.0
физ. лицо,получение средств,4046.23,наличный,Гомель,МаксБанк-TFHW-592,15-05-2016,13:18:04,успешно,нет,0.0
юр. лицо,получение средств,4959.37,наличный,Гродно,БелАгропромбанк-UGHY-395,10-12-2004,09:43:59,успешно,нет,0.0
юр. лицо,списание средств,1734.34,безналичный,Гомель,Белинвестбанк-DYVL-072,19-07-2018,02:29:45,неправильный ввод пин-кода,да,147.39
физ. лицо,списание средств,4699.26,наличный,Могилев,БелАгропромбанк-IKKB-110,22-01-2005,09:18:09,недостаточно средств,да,429.76
физ. лицо,получение средств,1921.65,наличный,Гомель,Приорбанк-OXPC-037,18-05-2003,19:08:53,успешно,нет,0.0
юр. лицо,получение средств,3478.13,безналичный,Гродно,МаксБанк-SBNO-821,07-02-2002,06:36:39,успешно,нет,0.0
физ. лицо,получение средств,2083.11,наличный,Могилев,МаксБанк-VLPS-969,12-11-2014,11:29:25,успешно,нет,0.0
юр. лицо,списание средств,4595.84,безналичный,Брест,Беларусбанк-VDSD-235,16-12-2020,05:24:09,неправильный ввод пин-кода,да,229.56
физ. лицо,списание средств,1583.68,наличный,Могилев,БелАгропромбанк-FTWL-195,19-12-2023,11:49:26,успешно,да,16.82
физ. лицо,получение средств,3780.35,безналичный,Минск,МаксБанк-PZRC-547,21-11-2004,21:23:20,успешно,нет,0.0
физ. лицо,получение средств,4638.1,безналичный,Гомель,Беларусбанк-RMFP-669,21-10-2014,03:48:31,успешно,нет,0.0
юр. лицо,получение средств,3857.38,безналичный,Витебск,БелАгропромбанк-MSMQ-558,20-10-2015,12:54:40,успешно,нет,0.0
юр. лицо,получение средств,2571.07,наличный,Витебск,МаксБанк-BJWR-711,29-04-2005,17:33:15,успешно,нет,0.0
юр. лицо,списание средств,1786.64,наличный,Минск,Приорбанк-QJCF-329,30-03-2013,20:38:05,успешно,нет,0.0
юр. лицо,списание средств,191.54,наличный,Гродно,БелАгропромбанк-LFTH-927,31-03-2012,10:28:18,недостаточно средств,да,9.78
юр. лицо,получение средств,4609.89,наличный,Гродно,Приорбанк-RTHA-234,20-11-2016,23:44:52,успешно,нет,0.0
физ. лицо,списание средств,2345.62,наличный,Гродно,Приорбанк-XTNJ-633,29-04-2004,05:19:29,неправильный ввод пин-кода,да,105.77
физ. лицо,списание средств,631.1,безналичный,Витебск,МаксБанк-IAAS-848,25-05-2016,00:15:00,успешно,да,35.71
физ. лицо,списание средств,4986.15,безналичный,Гродно,МаксБанк-EPAA-480,15-07-2014,16:00:17,успешно,да,473.88
физ. лицо,списание средств,221.07,безналичный,Брест,Беларусбанк-JRXN-499,29-02-2008,19:34:31,недостаточно средств,нет,0.0
физ. лицо,получение средств,2988.26,безналичный,Могилев,МаксБанк-DHLP-674,01-04-2023,04:12:07,успешно,нет,0.0
юр. лицо,списание средств,4206.17,наличный,Витебск,БелАгропромбанк-BTYZ-360,17-01-2007,18:27:31,недостаточно средств,да,92.42
юр. лицо,получение средств,1549.23,наличный,Гомель,МаксБанк-VRFE-545,21-02-2008,11:46:55,успешно,нет,0.0
юр. лицо,получение средств,2330.32,наличный,Минск,Беларусбанк-YXDU-996,16-10-2023,00:25:15,успешно,нет,0.0
юр. лицо,списание средств,3002.87,наличный,Могилев,Белинвестбанк-LRIW-138,04-08-2020,16:18:18,недостаточно средств,да,148.5
физ. лицо,получение средств,3094.96,наличный,Брест,Приорбанк-RONM-660,13-10-2012,21:23:58,успешно,нет,0.0
юр. лицо,получение средств,1652.63,безналичный,Брест,Белинвестбанк-CPKF-285,05-08-2019,04:58:21,успешно,нет,0.0
